Participant,Time,Level,Congruency,RT,ACC
1,evening,global,congruent,355.8823529,0.934065934
1,evening,global,incongruent,363.9886364,0.946236559
1,evening,local,congruent,373.2717391,0.968421053
1,evening,local,incongruent,418.5342466,0.776595745
1,morning,global,congruent,368.1136364,0.956521739
1,morning,global,incongruent,373.4712644,0.915789474
1,morning,local,congruent,391.0860215,0.958762887
1,morning,local,incongruent,438.8266667,0.765306122
2,evening,global,congruent,407.8297872,0.979166667
2,evening,global,incongruent,428.1157895,0.95959596
2,evening,local,congruent,426.1382979,0.979166667
2,evening,local,incongruent,450.2604167,0.989690722
2,morning,global,congruent,425.8736842,0.989583333
2,morning,global,incongruent,458.1075269,0.948979592
2,morning,local,congruent,460.2653061,1
2,morning,local,incongruent,537.5894737,0.979381443
3,evening,global,congruent,316.4382022,0.956989247
3,evening,global,incongruent,319.2560976,0.88172043
3,evening,local,congruent,333.3409091,0.946236559
3,evening,local,incongruent,359.32,0.79787234
3,morning,global,congruent,372.1323529,0.85
3,morning,global,incongruent,414.8301887,0.779411765
3,morning,local,congruent,443.2295082,0.897058824
3,morning,local,incongruent,486.6956522,0.686567164
4,evening,global,congruent,352.173913,0.989247312
4,evening,global,incongruent,360.6590909,0.936170213
4,evening,local,congruent,349.4835165,0.957894737
4,evening,local,incongruent,414.1162791,0.886597938
4,morning,global,congruent,354.3510638,0.989473684
4,morning,global,incongruent,355.2282609,0.968421053
4,morning,local,congruent,373.3958333,0.989690722
4,morning,local,incongruent,411.988764,0.936842105
5,evening,global,congruent,312.5333333,0.79787234
5,evening,global,incongruent,301.0379747,0.849462366
5,evening,local,congruent,314.9876543,0.861702128
5,evening,local,incongruent,328.375,0.64
5,morning,global,congruent,321.1538462,0.838709677
5,morning,global,incongruent,333.4285714,0.785714286
5,morning,local,congruent,332.3493976,0.922222222
5,morning,local,incongruent,344.4935065,0.827956989
6,evening,global,congruent,343.8172043,1
6,evening,global,incongruent,406.8452381,0.875
6,evening,local,congruent,375.043956,0.968085106
6,evening,local,incongruent,419.989011,0.957894737
6,morning,global,congruent,357.2365591,1
6,morning,global,incongruent,412.8690476,0.893617021
6,morning,local,congruent,371.5263158,0.979381443
6,morning,local,incongruent,416.4175824,0.968085106
8,evening,global,congruent,334.0736842,0.979381443
8,evening,global,incongruent,342.5326087,0.968421053
8,evening,local,congruent,349.5652174,0.978723404
8,evening,local,incongruent,373.4888889,0.927835052
8,morning,global,congruent,362.7938144,0.989795918
8,morning,global,incongruent,388.2298851,0.90625
8,morning,local,congruent,387.1836735,1
8,morning,local,incongruent,422.9893617,0.979166667
9,evening,global,congruent,346.2555556,0.989010989
9,evening,global,incongruent,385.4,0.824742268
9,evening,local,congruent,346.0888889,0.989010989
9,evening,local,incongruent,353.5222222,0.967741935
9,morning,global,congruent,346.8817204,1
9,morning,global,incongruent,390.0465116,0.905263158
9,morning,local,congruent,343.627907,0.977272727
9,morning,local,incongruent,352.5930233,0.977272727
10,evening,global,congruent,436.6966292,0.956989247
10,evening,global,incongruent,442.7934783,1
10,evening,local,congruent,448.0769231,0.968085106
10,evening,local,incongruent,504.0108696,0.989247312
10,morning,global,congruent,413.576087,0.978723404
10,morning,global,incongruent,453.6597938,0.989795918
10,morning,local,congruent,424.6597938,1
10,morning,local,incongruent,438.4946237,0.989361702
11,evening,global,congruent,389.5454545,0.926315789
11,evening,global,incongruent,391.6304348,0.948453608
11,evening,local,congruent,379.8924731,0.958762887
11,evening,local,incongruent,402.7640449,0.898989899
11,morning,global,congruent,410.4044944,0.956989247
11,morning,global,incongruent,406.5505618,0.908163265
11,morning,local,congruent,378.2068966,0.896907216
11,morning,local,incongruent,385.827957,0.96875
12,evening,global,congruent,351.1573034,0.927083333
12,evening,global,incongruent,360.8681319,0.93814433
12,evening,local,congruent,374.1489362,0.94
12,evening,local,incongruent,399.4594595,0.770833333
12,morning,global,congruent,362.7857143,0.913043478
12,morning,global,incongruent,375.8888889,0.861702128
12,morning,local,congruent,380.3152174,0.948453608
12,morning,local,incongruent,423.6025641,0.838709677
13,evening,global,congruent,351.3068182,0.946236559
13,evening,global,incongruent,366.8470588,0.894736842
13,evening,local,congruent,380.212766,0.969072165
13,evening,local,incongruent,412.6987952,0.864583333
13,morning,global,congruent,384.9673913,0.968421053
13,morning,global,incongruent,396.1529412,0.904255319
13,morning,local,congruent,388.2421053,0.979381443
13,morning,local,incongruent,427.4186047,0.895833333
14,evening,global,congruent,587.826087,0.978723404
14,evening,global,incongruent,610.9010989,0.93814433
14,evening,local,congruent,620.4285714,0.98989899
14,evening,local,incongruent,619.0729167,0.979591837
14,morning,global,congruent,515.4487179,0.939759036
14,morning,global,incongruent,566.6626506,0.882978723
14,morning,local,congruent,542.5121951,0.931818182
14,morning,local,incongruent,513.3378378,0.870588235
15,evening,global,congruent,377.5913978,0.958762887
15,evening,global,incongruent,391.6179775,0.936842105
15,evening,local,congruent,423.7222222,0.918367347
15,evening,local,incongruent,469.5505618,0.917525773
15,morning,global,congruent,407.7282609,0.989247312
15,morning,global,incongruent,419.2989691,0.97979798
15,morning,local,congruent,446.46875,0.96969697
15,morning,local,incongruent,500.2444444,0.918367347
16,evening,global,congruent,342.9642857,0.965517241
16,evening,global,incongruent,342.1704545,0.916666667
16,evening,local,congruent,369.043956,0.989130435
16,evening,local,incongruent,373.045977,0.896907216
16,morning,global,congruent,346.2413793,0.935483871
16,morning,global,incongruent,342.8795181,0.892473118
16,morning,local,congruent,333.0537634,0.978947368
16,morning,local,incongruent,363.8055556,0.791208791
17,evening,global,congruent,381.1555556,0.957446809
17,evening,global,incongruent,395.2873563,0.935483871
17,evening,local,congruent,409.6555556,0.957446809
17,evening,local,incongruent,446.8068182,0.916666667
17,morning,global,congruent,373.03125,0.989690722
17,morning,global,incongruent,390.0111111,0.957446809
17,morning,local,congruent,384.9896907,0.989795918
17,morning,local,incongruent,421.3707865,0.917525773
18,evening,global,congruent,348.3191489,0.969072165
18,evening,global,incongruent,364.3488372,0.914893617
18,evening,local,congruent,380.1123596,0.978021978
18,evening,local,incongruent,411.0229885,0.90625
18,morning,global,congruent,333.5581395,0.924731183
18,morning,global,incongruent,348.816092,0.925531915
18,morning,local,congruent,389.8924731,0.978947368
18,morning,local,incongruent,457.6136364,0.897959184
19,evening,global,congruent,413.9468085,0.959183673
19,evening,global,incongruent,403.7439024,0.872340426
19,evening,local,congruent,464.3548387,0.948979592
19,evening,local,incongruent,497.3181818,0.897959184
19,morning,global,congruent,401.7173913,0.968421053
19,morning,global,incongruent,428.8023256,0.886597938
19,morning,local,congruent,447.5957447,0.959183673
19,morning,local,incongruent,462.1341463,0.845360825
21,evening,global,congruent,420.9782609,0.968421053
21,evening,global,incongruent,456.5730337,0.927083333
21,evening,local,congruent,431.6666667,0.875
21,evening,local,incongruent,442.5164835,0.947916667
21,morning,global,congruent,419.4270833,0.989690722
21,morning,global,incongruent,419.3404255,0.969072165
21,morning,local,congruent,417.1630435,0.958333333
21,morning,local,incongruent,424.3645833,0.96969697
22,evening,global,congruent,310.5116279,0.934782609
22,evening,global,incongruent,324.3493976,0.882978723
22,evening,local,congruent,319.2359551,0.946808511
22,evening,local,incongruent,323.3947368,0.817204301
22,morning,global,congruent,311.4782609,0.989247312
22,morning,global,incongruent,333.7619048,0.884210526
22,morning,local,congruent,315.6086957,0.978723404
22,morning,local,incongruent,332.5747126,0.935483871
23,evening,global,congruent,298.4096386,0.988095238
23,evening,global,incongruent,312.0121951,0.891304348
23,evening,local,congruent,314.1818182,0.974683544
23,evening,local,incongruent,316.9864865,0.770833333
23,morning,global,congruent,304.8765432,0.870967742
23,morning,global,incongruent,305.9295775,0.835294118
23,morning,local,congruent,324.7674419,0.955555556
23,morning,local,incongruent,350.1,0.869565217
24,evening,global,congruent,365.8842105,0.979381443
24,evening,global,incongruent,387.3815789,0.826086957
24,evening,local,congruent,383.5411765,0.885416667
24,evening,local,incongruent,413.3373494,0.855670103
24,morning,global,congruent,345.0543478,0.989247312
24,morning,global,incongruent,375.012987,0.802083333
24,morning,local,congruent,375.2222222,0.927835052
24,morning,local,incongruent,396.7160494,0.861702128
26,evening,global,congruent,367.5977011,0.925531915
26,evening,global,incongruent,410.6202532,0.81443299
26,evening,local,congruent,391.3516484,0.957894737
26,evening,local,incongruent,401.8372093,0.934782609
26,morning,global,congruent,386.3846154,0.947916667
26,morning,global,incongruent,398.5609756,0.863157895
26,morning,local,congruent,419.03125,0.96969697
26,morning,local,incongruent,424.0222222,0.9375
27,evening,global,congruent,353.2659574,0.989473684
27,evening,global,incongruent,367.7,0.927835052
27,evening,local,congruent,387.3846154,0.968085106
27,evening,local,incongruent,414.6666667,0.9375
27,morning,global,congruent,368.3894737,0.989583333
27,morning,global,incongruent,402.1764706,0.885416667
27,morning,local,congruent,352.8444444,0.927835052
27,morning,local,incongruent,374.6976744,0.924731183
28,evening,global,congruent,320.8266667,0.79787234
28,evening,global,incongruent,332.2337662,0.875
28,evening,local,congruent,342.9253731,0.72826087
28,evening,local,incongruent,347.1492537,0.72826087
28,morning,global,congruent,366.4090909,0.946236559
28,morning,global,incongruent,355.9230769,0.978494624
28,morning,local,congruent,370.2795699,0.96875
28,morning,local,incongruent,418.8181818,0.448979592
29,evening,global,congruent,317.712766,0.979166667
29,evening,global,incongruent,346.8125,0.833333333
29,evening,local,congruent,342.625,1
29,evening,local,incongruent,362.4431818,0.926315789
29,morning,global,congruent,340.3295455,0.946236559
29,morning,global,incongruent,366.2352941,0.894736842
29,morning,local,congruent,351.7977528,0.967391304
29,morning,local,incongruent,356.8554217,0.864583333
